見出し,店名,年式,リンク,文言,税抜,税込
0,サイクルスポット,0000,https://cyclespot.jp/store/ProductDetail.aspx?pcd=0433180702035&ccd=F1000131&wkcd=F1000114,ベスビー JR1 電動自転車(広尾店・渋谷店・都立大学店・麻布十番店・三田店・四谷店受取限定品),276000,298080
1,サイクルスポット,0000,https://cyclespot.jp/store/ProductDetail.aspx?pcd=0433180301023&ccd=F1000131&wkcd=F1000114,【予約品】PS1 ADV 電動自転車 ベスビー<等々力店・広尾店・渋谷店・都立大学店・麻布十番店・三田店・四谷店受取限定品>,276000,298080
2,サイクルスポット,2018,https://cyclespot.jp/store/ProductDetail.aspx?pcd=0450180403014&ccd=F1000131&wkcd=F1000114,【ヘルメットプレゼント中!】ベネリ benelli NERONE 27.5+  電動自転車 マウンテンバイク 【店舗受取限定】E-bike イーバイク,278000,300240
3,サイクルスポット,2018,https://cyclespot.jp/store/ProductDetail.aspx?pcd=0460180405048&ccd=F1000131&wkcd=F1000114,YPJ-TC 電動自転車〔PW70ATCx8J〕【年モデル】【店頭受取限定】,285000,307800
4,サイクルスポット,2018,https://cyclespot.jp/store/ProductDetail.aspx?pcd=0506201802011&ccd=F1000131&wkcd=F1000114,コラテック イーパワーシェイプ corratec E-POWER SHAPE 電動自転車 クロスバイク E-BIKE【年モデル】 【店頭受取限定】,298000,321840
5,サイクルスポット,2018,https://cyclespot.jp/store/ProductDetail.aspx?pcd=0460180403020&ccd=F1000131&wkcd=F1000114,ヤマハ YPJ-ER ロードバイク 電動自転車 イーバイク e-bike 年モデル 【店頭受取限定】,304000,328320
6,サイクルスポット,2019,https://cyclespot.jp/store/ProductDetail.aspx?pcd=0503201932014&ccd=F1000131&wkcd=F1000114,ルイガノ ASCENT e-sports  アセントイースポーツ イーバイク E-bike 電動自転車【店頭受取限定】,330000,356400
7,サイクルスポット,0000,https://cyclespot.jp/store/ProductDetail.aspx?pcd=0404170801014&ccd=F1000131&wkcd=F1000114,【予約品】パナソニック XM1 電動アシストマウンテンバイク BE-EXM40 エックスエムワン E-bike イーバイク,330000,356400
8,サイクルスポット,2018,https://cyclespot.jp/store/ProductDetail.aspx?pcd=0460180402030&ccd=F1000131&wkcd=F1000114,YPJ-XC 電動自転車〔PB27AXCx8J〕【年モデル】【店頭受取限定】,332500,359100
9,サイクルスポット,0000,https://cyclespot.jp/store/ProductDetail.aspx?pcd=0406180203017&ccd=F1000131&wkcd=F1000114,RIDGE-RUNNER(リッジランナー) マウンテンバイク 電動自転車 E-bike イーバイク (シマノSTEPS)【店頭受取限定】,369000,398520
10,サイクルスポット,2018,https://cyclespot.jp/store/ProductDetail.aspx?pcd=0404180513013&ccd=F1000131&wkcd=F1000114,パナソニック XM2〔BE-EWM40〕電動自転車 E-bike イーバイク【年モデル】【店舗受取限定】,380000,410400
11,サイクルスポット,0000,https://cyclespot.jp/store/ProductDetail.aspx?pcd=0427201817013&ccd=F1000131&wkcd=F1000114,MIZUTANI Seraph セラフ 電動自転車 クロスバイク【店頭受取限定】,380000,410400
12,サイクルスポット,0000,https://cyclespot.jp/store/ProductDetail.aspx?pcd=0452201901011&ccd=F1000131&wkcd=F1000114,DAVOS E-600 クロスバイク 電動自転車 E-BIKE イーバイク【店頭受取限定】,430000,464400
13,サイクルスポット,0000,https://cyclespot.jp/store/ProductDetail.aspx?pcd=0433180302013&ccd=F1000131&wkcd=F1000114,【予約品】TRS1 電動自転車 ベスビー<広尾店・渋谷店・都立大学店・麻布十番店・三田店・四谷店受取限定品>【お取り寄せ】,462000,498960
